Date,Close
12.02.2021,295.75
12.01.2021,287.25
11.30.2021,285.5
11.29.2021,297.5
11.26.2021,302.75
11.25.2021,308.75
11.24.2021,308.25
11.23.2021,308.5
11.22.2021,305.75
11.19.2021,297
11.18.2021,295.75
11.17.2021,294.75
11.16.2021,288.75
11.15.2021,294
11.12.2021,294
11.11.2021,292.25
11.10.2021,289.75
11.09.2021,281.5
11.08.2021,279
11.05.2021,282.75
11.04.2021,285.75
11.03.2021,285.5
11.02.2021,286.75
11.01.2021,284.5
10.29.2021,279
10.28.2021,278.5
10.27.2021,279.75
10.26.2021,279.75
10.25.2021,276.5
10.22.2021,275
10.21.2021,271.25
10.20.2021,271.5
10.19.2021,268.25
10.18.2021,268.75
10.15.2021,270.25
10.14.2021,266.75
10.13.2021,261.75
10.12.2021,267.75
10.11.2021,263.75
10.08.2021,264
10.07.2021,264.5
10.06.2021,263.25
10.05.2021,258.75
10.04.2021,260
10.01.2021,258.75
09.30.2021,253
09.29.2021,250.25
09.28.2021,247.75
09.27.2021,247.25
09.24.2021,247.25
09.23.2021,246
09.22.2021,244.75
09.21.2021,240.5
09.20.2021,241.75
09.17.2021,243.75
09.16.2021,244.75
09.15.2021,244.5
09.14.2021,239.5
09.13.2021,236
09.10.2021,237.75
09.09.2021,239.5
09.08.2021,242
09.07.2021,242.25
09.06.2021,242.25
09.03.2021,244.5
09.02.2021,244.25
09.01.2021,242.75
08.31.2021,245.25
08.30.2021,246.75
08.27.2021,246.75
08.26.2021,247.5
08.25.2021,244
08.24.2021,246.5
08.23.2021,246.5
08.20.2021,244.5
08.19.2021,243.75
08.18.2021,248.25
08.17.2021,242.75
08.16.2021,251.5
08.13.2021,254.25
08.12.2021,248.75
08.11.2021,239.75
08.10.2021,237.75
08.09.2021,232.5
08.06.2021,232.25
08.05.2021,228
08.04.2021,227.75
08.03.2021,230
08.02.2021,230.75
07.30.2021,225.5
07.29.2021,222.25
07.28.2021,218
07.27.2021,214.75
07.26.2021,215
07.23.2021,214.25
07.22.2021,212.25
07.21.2021,216.5
07.20.2021,218
07.19.2021,216.25
07.16.2021,216
07.15.2021,209.75
07.14.2021,209
07.13.2021,204
07.12.2021,201.5
07.09.2021,199.5
07.08.2021,201.75
07.07.2021,201.75
07.06.2021,200
07.05.2021,203
07.02.2021,206.75
07.01.2021,209.5
06.30.2021,209.75
06.29.2021,203.5
06.28.2021,203.75
06.25.2021,202.5
06.24.2021,205.25
06.23.2021,207.75
06.22.2021,208
06.21.2021,208.5
06.18.2021,209.25
06.17.2021,205.75
06.16.2021,207
06.15.2021,206
06.14.2021,209
06.11.2021,211
06.10.2021,212.25
06.09.2021,212.5
06.08.2021,215.75
06.07.2021,215.5
06.04.2021,213.75
06.03.2021,214.5
06.02.2021,214
06.01.2021,217
05.31.2021,212.5
05.28.2021,209.75
05.27.2021,210.25
05.26.2021,204.5
05.25.2021,204.5
05.24.2021,207.5
05.21.2021,211.5
05.20.2021,212.25
05.19.2021,210.25
05.18.2021,214.25
05.17.2021,214
05.14.2021,217.75
05.13.2021,215.75
05.12.2021,224.25
05.11.2021,225
05.10.2021,223.5
05.07.2021,232
05.06.2021,230.25
05.05.2021,226.25
05.04.2021,220.5
05.03.2021,215.75
04.30.2021,219.25
04.29.2021,218.75
04.28.2021,226.75
04.27.2021,227.5
04.26.2021,226.25
04.23.2021,219.25
04.22.2021,220.75
04.21.2021,213.25
04.20.2021,210.25
04.19.2021,207
04.16.2021,206.75
04.15.2021,206.5
04.14.2021,204.75
04.13.2021,201.75
04.12.2021,198.75
04.09.2021,199.5
04.08.2021,198
04.07.2021,195.75
04.06.2021,194.5
04.05.2021,
04.02.2021,
04.01.2021,196.5
03.31.2021,199
03.30.2021,193.25
03.29.2021,194
03.26.2021,195
03.25.2021,193.75
03.24.2021,196.5
03.23.2021,196.5
03.22.2021,196.5
03.19.2021,198
03.18.2021,197.25
03.17.2021,198.5
03.16.2021,198.5
03.15.2021,200.25
03.12.2021,199.25
03.11.2021,199.75
03.10.2021,227.5
03.09.2021,229.25
03.08.2021,230.25
03.05.2021,228.25
03.04.2021,228
03.03.2021,229.75
03.02.2021,232
03.01.2021,230.25
02.26.2021,229.5
02.25.2021,231.5
02.24.2021,232.75
02.23.2021,229.5
02.22.2021,229.25
02.19.2021,227.25
02.18.2021,226.25
02.17.2021,222
02.16.2021,223.25
02.15.2021,222.5
02.12.2021,218.25
02.11.2021,217
02.10.2021,216.5
02.09.2021,218.75
02.08.2021,220.75
02.05.2021,219
02.04.2021,218.75
02.03.2021,219.75
02.02.2021,220.75
02.01.2021,219.75
01.29.2021,223.25
01.28.2021,224.25
01.27.2021,225
01.26.2021,224.75
01.25.2021,221.5
01.22.2021,219.25
01.21.2021,227.25
01.20.2021,228.75
01.19.2021,230.75
01.18.2021,231.5
01.15.2021,227.75
01.14.2021,226.25
01.13.2021,222
01.12.2021,221
01.11.2021,215.25
01.08.2021,213.75
01.07.2021,212
01.06.2021,213.25
01.05.2021,214.5
01.04.2021,211.5
01.01.2021,
12.31.2020,210.5
12.30.2020,210.25
12.29.2020,209.25
12.28.2020,208.5
12.25.2020,
12.24.2020,209.25
12.23.2020,208.75
12.22.2020,206.5
12.21.2020,205.75
12.18.2020,205.75
12.17.2020,204.5
12.16.2020,203.5
12.15.2020,204.5
12.14.2020,203.75
12.11.2020,207.5
12.10.2020,204.75
12.09.2020,202.75
12.08.2020,201.5
